Timestamp,SrcIp,DestIp,L4Protocol,totalFlow
"2023-09-14T01:24:00Z","141.98.11.95","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","159.203.224.19","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","162.216.150.9","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","205.210.31.9","10.0.0.4",UDP,1
"2023-09-14T01:24:00Z","43.131.52.47","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","162.216.150.162","10.0.0.4",TCP,3
"2023-09-14T01:24:00Z","79.124.58.130","10.0.0.6",TCP,2
"2023-09-14T01:24:00Z","162.216.149.129","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","159.203.208.34","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","118.123.105.93","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","45.147.250.208","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","45.79.109.130","10.0.0.4",TCP,2
"2023-09-14T01:24:00Z","45.33.84.124","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","162.216.150.162","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","162.216.150.9","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","198.235.24.174","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","198.235.24.3","10.0.0.6",TCP,2
"2023-09-14T01:24:00Z","185.36.81.33","10.0.0.6",TCP,2
"2023-09-14T01:24:00Z","162.216.150.123","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","164.92.80.220","10.0.0.6",UDP,1
"2023-09-14T01:24:00Z","194.26.135.133","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","198.199.104.39","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","198.235.24.97","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","205.210.31.71","10.0.0.6",UDP,1
"2023-09-14T01:24:00Z","207.90.244.2","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","45.33.95.64","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","45.128.232.173","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","45.156.128.29","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","107.170.247.34","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","114.113.234.44","10.0.0.4",UDP,1
"2023-09-14T01:24:00Z","162.216.149.105","10.0.0.4",TCP,2
"2023-09-14T01:24:00Z","162.243.136.71","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","179.43.191.194","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","183.136.225.5","10.0.0.4",TCP,6
"2023-09-14T01:24:00Z","45.33.95.64","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","91.240.118.75","10.0.0.6",TCP,3
"2023-09-14T01:24:00Z","205.210.31.25","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","198.199.119.101","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","185.36.81.33","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","65.49.1.54","10.0.0.4",UDP,1
"2023-09-14T01:24:00Z","65.49.1.26","10.0.0.4",UDP,1
"2023-09-14T01:24:00Z","162.216.149.104","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","118.123.105.93","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","93.174.95.106","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","80.94.95.249","10.0.0.6",TCP,2
"2023-09-14T01:24:00Z","65.49.1.84","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","45.79.109.236","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","37.44.238.174","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","205.210.31.45","10.0.0.4",TCP,1
